"WYKAZ ULIC UKŁADU UZUPEŁNIAJĄCEGO",,,,,,
"Lp.","Ulica","dzielnica","kategoria","Długość [m]","Przebieg od","Przebieg do"
"1478","rynek Śródecki","Nowe Miasto","gminna","89",,
"1479","rynek Wildecki","Wilda","droga wewnętrzna","111",,
"1480","rynek Wschodni","Nowe Miasto","gminna","127",,
"1481","Rynkowa","Stare Miasto","gminna","31",,
"1482","Rypińska","Jeżyce","gminna","61",,
"1483","Rysia","Nowe Miasto","gminna","360",,
"1484","Rzeczańska","Nowe Miasto","droga wewnętrzna","403",,
"1485","Rzeczna","Nowe Miasto","gminna","241",,
"1486","Rzepeckiej Heleny","Jeżyce","gminna","246",,
"1487","Rzepińska","Grunwald","gminna","611",,
"1488","Rzeszowska","Jeżyce","gminna","264",,
"1489","Rzewieniowa","Stare Miasto","droga wewnętrzna","123",,
"1490","Rzewuskiego Wacława","Nowe Miasto","droga wewnętrzna","144",,
"1491","Sabiny","Nowe Miasto","gminna","281",,
"1492","Sadnicka","Grunwald","gminna","243",,
"1493","Sadowa","Stare Miasto","gminna","404",,
"1494","Safony","Jeżyce","droga wewnętrzna","117",,
"1495","Salicka","Nowe Miasto","gminna","191",,
"1496","Samotna","Wilda","gminna","331",,
"1497","Sanatoryjna","Jeżyce","gminna","351",,
"1498","Sandomierska","Nowe Miasto","powiatowa","1035",,
"1499","Sanocka","Nowe Miasto","gminna","1219",,
"1500","Santocka","Jeżyce","powiatowa","679","Polanowska","Sianowska"
"1501","Saperska","Wilda","gminna","993",,
"1502","Sarbinowska","Nowe Miasto","gminna","313",,
"1503","Sarmacka","Stare Miasto","powiatowa","1218",,
"1504","Sarnia","Nowe Miasto","gminna","879",,
"1505","Sasankowa","Grunwald","gminna","359",,
"1506","Sąsiedzka","Grunwald","gminna","704",,
"1507","Sczanieckiej Emilii","Grunwald","gminna","297",,
"1508","Selizarowska","Stare Miasto","droga wewnętrzna","256",,
"1509","Sempołowskiej Stefanii","Wilda","gminna","257",,
"1510","Senatorska","Grunwald","gminna","405",,
"1511","Seneki","Jeżyce","gminna","132",,
"1512","Serafitek","Nowe Miasto","gminna","426",,
"1513","Serdeczna","Nowe Miasto","gminna","228",,
"1514","Sędziwoja","Nowe Miasto","gminna","1007",,
"1515","Sępia","Nowe Miasto","gminna","443",,
"1516","Sępoleńska","Jeżyce","droga wewnętrzna","143",,
"1517","Sianowska","Jeżyce","powiatowa","808",,
"1518","Siedmiogrodzka","Stare Miasto","gminna","133",,
"1519","Sielawy","Stare Miasto","droga wewnętrzna","152",,
"1520","Sielska","Grunwald","gminna","374",,
"1521","Siemiradzkiego Henryka","Grunwald","gminna","485",,
"1522","Sienkiewicza Henryka","Jeżyce","gminna","457",,
"1523","Sieradzka","Grunwald","gminna","522",,
"1524","Sierakowska","Grunwald","gminna","246",,
"1525","Sieroca","Stare Miasto","gminna","72",,
"1526","Sierotki Marysi","Grunwald","gminna","166",,
"1527","Sierpowa","Nowe Miasto","gminna","1842",,
"1528","Siewierska","Nowe Miasto","gminna","534",,
"1529","Siewna","Stare Miasto","gminna","453",,
"1530","Sikorskiego Władysława","Wilda","gminna","636",,
"1531","Silniki","Nowe Miasto","gminna","1091",,
"1532","Sióstr Misjonarek","Stare Miasto","droga wewnętrzna","101",,
"1533","Skalna","Grunwald","gminna","335",,
"1534","Skałkowskiego Adama","Stare Miasto","droga wewnętrzna","288",,
"1535","Skarbka Fryderyka","Grunwald","gminna","421",,
"1536","Skargi Piotra","Grunwald","gminna","168",,
"1537","Skarszewska","Jeżyce","gminna","146",,
"1538","Skarżyńskiego Stanisława","Jeżyce","droga wewnętrzna","236",,
"1539","Skawińska","Nowe Miasto","gminna","846",,
"1540","Skibowa","Nowe Miasto","gminna","1298",,
"1541","Składowa","Stare Miasto","gminna","472",,
"1542","Skłodowskiej-Curie Marii plac","Wilda","droga wewnętrzna","102",,
"1543","Skoczowska","Nowe Miasto","gminna","250",,
"1544","Skorpiona","Nowe Miasto","droga wewnętrzna","162",,
"1545","Skośna","Stare Miasto","gminna","100",,
"1546","Skotarska","Stare Miasto","gminna","502",,
"1547","Skrajna","Grunwald","gminna","279",,
"1548","Skromna","Nowe Miasto","gminna","141",,
"1549","Skryta","Grunwald","gminna","208",,
"1550","Skrzetuskiego Jana","Grunwald","gminna","160",,
"1551","Skrzydlata","Nowe Miasto","gminna","96",,
"1552","Skrzypowa","Stare Miasto","gminna","481",,
"1553","Skwierzyńska","Stare Miasto","gminna","360",,
"1554","Sławińska","Grunwald","gminna","233",,
"1555","Sławomira","Nowe Miasto","gminna","387",,
"1556","Sławskiego Rogera","Stare Miasto","gminna","204",,
"1557","Słodyńska","Jeżyce","powiatowa","824",,
"1558","Słomiana","Stare Miasto","gminna","227",,
"1559","Słoneczna","Grunwald","gminna","1176",,
"1560","Słonecznikowa","Stare Miasto","droga wewnętrzna","295",,
"1561","Słonimska","Nowe Miasto","gminna","176",,
"1562","Słowackiego Juliusza","Jeżyce","gminna","999",,
"1563","Słowicza","Grunwald","gminna","166",,
"1564","Słubicka","Stare Miasto","gminna","206",,
"1565","Słupecka","Nowe Miasto","gminna","285",,
"1566","Smardzewska","Grunwald","gminna","523",,
"1567","Smoka Wawelskiego","Grunwald","gminna","162",,
"1568","Smoleńska","Stare Miasto","droga wewnętrzna","97",,
"1569","Smolna","Nowe Miasto","gminna","483",,
"1570","Smoluchowskiego Mariana","Grunwald","gminna","786",,
"1571","Smołdzinowska","Nowe Miasto","powiatowa","1029",,
"1572","Snopowa","Nowe Miasto","gminna","626",,
"1573","Sobiesława","Nowe Miasto","gminna","187",,
"1574","Sobolowa","Nowe Miasto","gminna","236",,
"1575","Sobotecka","Grunwald","gminna","557",,
"1576","Sochaczewska","Jeżyce","droga wewnętrzna","91",,
"1577","Sofoklesa","Jeżyce","gminna","234",,
"1578","Sokolnickiej Zofii","Jeżyce","gminna","132",,
"1579","Sokoła","Jeżyce","gminna","704",,
"1580","Sokołowskiego Jana","Stare Miasto","gminna","216",,
"1581","Solecka","Nowe Miasto","gminna","190",,
"1582","Solskiego Ludwika","Grunwald","gminna","489",,
"1583","Sołtysia","Stare Miasto","gminna","768",,
"1584","Sopocka","Jeżyce","droga wewnętrzna","143",,
"1585","Soroki","Grunwald","gminna","167",,
"1586","Sosnowa","Wilda","gminna","567",,
"1587","Sośnicka","Nowe Miasto","gminna","390",,
"1588","Sowia","Nowe Miasto","droga wewnętrzna","309",,
"1589","Sowice","Nowe Miasto","gminna","3036",,
"1590","Sowińskiego Józefa","Grunwald","gminna","640",,
"1591","Spacerowa","Jeżyce","droga wewnętrzna","203",,
"1592","Spadochronowa","Jeżyce","gminna","186",,
"1593","Spadzista","Wilda","gminna","43",,
"1594","Spichrzowa","Wilda","droga wewnętrzna","716",,
"1595","Spiski plac","Jeżyce","gminna","87",,
"1596","Spokojna","Stare Miasto","gminna","232",,
"1597","Sporna","Stare Miasto","gminna","232",,
"1598","Sportowa","Wilda","gminna","82",,
"1599","Srebrna","Grunwald","gminna","211",,
"1600","Stablewskiego Floriana","Grunwald","gminna","557",,
"1601","Stachury Edwarda aleja","Jeżyce","gminna","142",,
"1602","Staffa Leopolda","Grunwald","gminna","350",,
"1603","Stalowa","Nowe Miasto","gminna","588",,
"1604","Stara Cegielnia","Grunwald","droga wewnętrzna","266",,
"1605","Starachowicka","Nowe Miasto","powiatowa","201",,
"1606","Starkowska","Nowe Miasto","gminna","409",,
"1607","Starogardzka","Jeżyce","gminna","488",,
"1608","Starowiejska","Stare Miasto","gminna","368",,
"1609","Startowa","Jeżyce","gminna","279",,
"1610","Stary Rynek","Stare Miasto","droga wewnętrzna","491",,
"1611","Staszica Stanisława","Jeżyce","gminna","276",,
"1612","Staszowska","Nowe Miasto","gminna","403",,
"1613","Stawna","Stare Miasto","gminna","179",,
"1614","Stawny plac","Stare Miasto","droga wewnętrzna","23",,
"1615","Stefańskiego Walentego","Wilda","gminna","294",,
"1616","Sterowa","Jeżyce","gminna","105",,
"1617","Stewnicka","Nowe Miasto","gminna","542",,
"1618","Stęszewska","Grunwald","gminna","823",,
"1619","Stobnicka","Jeżyce","droga wewnętrzna","453",,
"1620","Stobnicka","Jeżyce","gminna","789",,
"1621","Stobrawska","Wilda","droga wewnętrzna","207",,
"1622","Stokrotkowa","Grunwald","gminna","1028",,
"1623","Stolarska","Grunwald","gminna","262",,
"1624","Storczykowa","Grunwald","gminna","165",,
"1625","Strażewicza Wacława","Stare Miasto","droga wewnętrzna","155",,
"1626","Straży Ludowej","Jeżyce","gminna","594",,
"1627","Stróżyńskiego Franciszka","Stare Miasto","powiatowa","186",,
"1628","Strugarka Stanisława","Stare Miasto","gminna","143",,
"1629","Strusia Józefa","Grunwald","gminna","74",,
"1630","Strykowska","Grunwald","gminna","149",,
"1631","Strzałkowska","Nowe Miasto","gminna","904",,
"1632","Strzałkowskiego Romka","Jeżyce","gminna","207",,
"1633","Strzałowa","Stare Miasto","gminna","136",,
"1634","Strzecha","Grunwald","gminna","442",,
"1635","Strzegomska","Grunwald","gminna","954",,
"1636","Strzelca","Nowe Miasto","droga wewnętrzna","158",,
"1637","Strzelecka","Stare Miasto","powiatowa","618",,
"1638","Strzeleckiego Pawła","Nowe Miasto","gminna","588",,
"1639","Strzelińska","Grunwald","gminna","301",,
"1640","Strzyżowska","Nowe Miasto","gminna","629",,
"1641","Studzienna","Nowe Miasto","gminna","237",,
"1642","Styczyńskiego Wincentego","Wilda","gminna","100",,
"1643","Sucha","Nowe Miasto","gminna","254",,
"1644","Sucharskiego Henryka","Wilda","gminna","970",,
"1645","Sulechowska","Wilda","gminna","610",,
"1646","Suliszewska","Jeżyce","gminna","135",,
"1647","Sulmierzycka","Grunwald","gminna","97",,
"1648","Sułkowicka","Nowe Miasto","droga wewnętrzna","260",,
"1649","Sułowska","Jeżyce","gminna","123",,
"1650","Suszki Jerzego","Stare Miasto","gminna","571",,
"1651","Suwalska","Jeżyce","gminna","466",,
"1652","Swantibora","Nowe Miasto","gminna","467",,
"1653","Swarożyca","Stare Miasto","gminna","209",,
"1654","Swarzędzka","Nowe Miasto","gminna","527",,
"1655","Swinarskiego Artura Marii","Grunwald","gminna","82",,
"1656","Swoboda","Grunwald","gminna","934",,
"1657","Swojska","Jeżyce","gminna","424",,
"1658","Sycowska","Grunwald","gminna","1992",,
"1659","Sycylijska","Stare Miasto","droga wewnętrzna","57",,
"1660","Synów Pułku","Jeżyce","gminna","211",,
"1661","Sypniewo","Nowe Miasto","gminna","1833","Kopylnik","Granica miasta"
"1662","Syrenia","Nowe Miasto","gminna","653",,
"1663","Syrokomli Władysława","Stare Miasto","gminna","251",,
"1664","Sytkowska","Jeżyce","gminna","554","Lutycka","Czarnkowska"
"1665","Szadecka","Grunwald","droga wewnętrzna","436",,
"1666","Szafirowa","Jeżyce","gminna","115",,
"1667","Szaflarska","Jeżyce","gminna","159",,
"1668","Szafran Heleny","Jeżyce","gminna","257",,
"1669","Szałasa Kazimierza","Jeżyce","gminna","238",,
"1670","Szałwiowa","Stare Miasto","droga wewnętrzna","377",,
"1671","Szamarzewskiego Augustyna","Jeżyce","gminna","1710",,
"1672","Szamocińska","Wilda","gminna","132",,
"1673","Szamotulska","Grunwald","gminna","636",,
"1674","Szamotulska","Jeżyce","gminna","615",,
"1675","Szantowa","Jeżyce","droga wewnętrzna","141",,
"1676","Szarotkowa","Grunwald","gminna","1910",,
"1677","Szczawiowa","Stare Miasto","droga wewnętrzna","216",,
"1678","Szczawnicka","Jeżyce","powiatowa","2067",,
"1679","Szczecińska","Grunwald","gminna","58",,
"1680","Szczepankowo","Nowe Miasto","droga wewnętrzna","200","Ługańska","linia kolejowa"
"1681","Szczepanowskiego Stanisława","Jeżyce","gminna","265",,
"1682","Szczęsna","Jeżyce","gminna","187",,
"1683","Szczurkiewiczów Nuny i Bolesława","Grunwald","gminna","206",,
"1684","Szczytnicka","Nowe Miasto","droga wewnętrzna","345",,
"1685","Szeherezady","Grunwald","gminna","503",,
"1686","Szelburg-Zarembiny Ewy","Jeżyce","gminna","140",,
"1687","Szenwalda Lucjana","Wilda","gminna","84",,
"1688","Szewska","Stare Miasto","gminna","301",,
"1689","Szklarniowa","Stare Miasto","gminna","1045",,
"1690","Szkolna","Stare Miasto","gminna","327",,
"1691","Szkunerowa","Jeżyce","droga wewnętrzna","177",,
"1692","Szkutnicza","Jeżyce","droga wewnętrzna","181",,
"1693","Szlachecka","Stare Miasto","gminna","112",,
"1694","Szmaragdowa","Stare Miasto","gminna","163",,
"1695","Szolca-Rogozińskiego Stefana","Nowe Miasto","droga wewnętrzna","239",,
"1696","Szopienicka","Nowe Miasto","droga wewnętrzna","132",,
"1697","Szpaków","Nowe Miasto","gminna","198",,
"1698","Szpotańskiego Janusza","Jeżyce","droga wewnętrzna","92",,
"1699","Szreniawska","Grunwald","gminna","85",,
"1700","Szronowa","Grunwald","droga wewnętrzna","156",,
"1701","Sztaudyngera Jana","Grunwald","gminna","67",,
"1702","Sztormowa","Jeżyce","gminna","97",,
"1703","Szubińska","Wilda","gminna","519",,
"1704","Szwajcarska","Nowe Miasto","powiatowa","187",,
"1705","Szweykowskiego Zygmunta","Stare Miasto","droga wewnętrzna","287",,
"1706","Szybowcowa","Jeżyce","gminna","298",,
"1707","Szydłowiecka","Nowe Miasto","gminna","362",,
"1708","Szydłowska","Jeżyce","gminna","1314",,
"1709","Szymańskiego Romana","Stare Miasto","gminna","111",,
"1710","Szymborska","Grunwald","gminna","73",,
"1711","Szyperska","Stare Miasto","gminna","518",,
"1712","Ściegiennego Piotra","Grunwald","powiatowa","736","Grunwaldzka","Taczanowskiego"
"1713","Ścinawska","Grunwald","gminna","1146",,
"1714","Ślazowa","Stare Miasto","droga wewnętrzna","146",,
"1715","Śląska","Jeżyce","gminna","308",,
"1716","Ślesińska","Nowe Miasto","droga wewnętrzna","95",,
"1717","Ślężańska","Nowe Miasto","gminna","375",,
"1718","Śliska","Nowe Miasto","gminna","558",,
"1719","Śliwkowa","Wilda","gminna","129",,
"1720","Ślusarska","Stare Miasto","gminna","94",,
"1721","Śmiała","Nowe Miasto","gminna","103",,
"1722","Śmiełowska","Wilda","gminna","864",,
"1723","Śmigi","Nowe Miasto","gminna","1534",,
"1724","Śmigielska","Grunwald","gminna","138",,
"1725","Śniegockiego Henryka","Stare Miasto","gminna","272",,
"1726","Śnieżna","Stare Miasto","droga wewnętrzna","187",,
"1727","Śpiewaków","Jeżyce","gminna","175",,
"1728","Średnia","Nowe Miasto","gminna","229",,
"1729","Średzka","Nowe Miasto","gminna","396",,
"1730","Śremska","Nowe Miasto","droga wewnętrzna","736",,
"1731","Śródka","Nowe Miasto","gminna","72",,
"1732","św. Barbary","Stare Miasto","gminna","65",,
"1733","św. Czesława","Wilda","gminna","308",,
"1734","św. Floriana","Jeżyce","gminna","98",,
"1735","św. Jacka","Nowe Miasto","gminna","41",,
"1736","św. Jerzego","Wilda","gminna","184",,
"1737","św. Kingi","Nowe Miasto","gminna","429",,
"1738","św. Leonarda","Jeżyce","gminna","135",,
"1739","św. Marii Magdaleny","Stare Miasto","gminna","272",,
"1740","św. Michała","Nowe Miasto","gminna","126","Warszawska","Świętojańska"
"1741","św. Rocha","Nowe Miasto","gminna","354",,
"1742","św. Stanisława","Jeżyce","droga wewnętrzna","121",,
"1743","św. Szczepana","Wilda","gminna","846",,
"1744","św. Trójcy","Wilda","gminna","267",,
"1745","św. Wawrzyńca","Jeżyce","gminna","883",,
"1746","św. Wincentego","Nowe Miasto","gminna","378",,
"1747","Światowida plac","Grunwald","droga wewnętrzna","95",,
"1748","Świątniczki","Nowe Miasto","gminna","600",,
"1749","Świdnicka","Grunwald","gminna","158",,
"1750","Świebodzińska","Grunwald","gminna","570",,
"1751","Świecka","Jeżyce","droga wewnętrzna","299",,
"1752","Świeradowska","Jeżyce","droga wewnętrzna","87",,
"1753","Świerkowa","Wilda","gminna","331",,
"1754","Świerzawska","Grunwald","gminna","751",,
"1755","Świetlana","Grunwald","gminna","472",,
"1756","Święciańska","Nowe Miasto","gminna","75",,
"1757","Święcickiego Heliodora","Grunwald","gminna","314",,
"1758","Świętochny","Nowe Miasto","gminna","154",,
"1759","Świętogórska","Grunwald","gminna","155",,
"1760","Świętojańska","Nowe Miasto","gminna","201",,
"1761","Świętosławska","Stare Miasto","gminna","59",,
"1762","Świętowidzka","Nowe Miasto","gminna","608",,
"1763","Święty Wojciech","Stare Miasto","gminna","410",,
"1764","Świt","Grunwald","gminna","683",,
"1765","Taborowa","Grunwald","droga wewnętrzna","446",,
"1766","Taczaka Stanisława","Stare Miasto","gminna","269",,
"1767","Tańskiego Czesława","Jeżyce","gminna","129",,
"1768","Tarczowa","Grunwald","gminna","436",,
"1769","Tarninowa","Wilda","gminna","151",,
"1770","Tarnobrzeska","Nowe Miasto","gminna","484",,
"1771","Tatarakowa","Stare Miasto","droga wewnętrzna","72",,
"1772","Tatrzańska","Jeżyce","gminna","380",,
"1773","Taylora Edwarda","Stare Miasto","gminna","75",,
"1774","Tczewska","Jeżyce","gminna","382",,
"1775","Tczewska","Jeżyce","droga wewnętrzna","114",,
"1776","Templińska","Grunwald","gminna","958",,
"1777","Teokryta","Jeżyce","gminna","204",,
"1778","Terespolska","Nowe Miasto","gminna","178",,
"1779","Termalna","Nowe Miasto","droga wewnętrzna","1374",,
"1780","Ternicka","Nowe Miasto","gminna","335",,
"1781","Tęczowa","Grunwald","gminna","406",,
"1782","Tokarska","Wilda","gminna","286",,
"1783","Tokarzewskiego Michała","Stare Miasto","gminna","90",,
"1784","Tołstoja Lwa","Jeżyce","droga wewnętrzna","305",,
"1785","Tomaszewskiego Adama","Stare Miasto","gminna","372",,
"1786","Tomaszowska","Nowe Miasto","gminna","512",,
"1787","Tomickiego Piotra","Nowe Miasto","gminna","490",,
"1788","Topazowa","Stare Miasto","gminna","103",,
"1789","Topolowa","Wilda","gminna","195",,
"1790","Torfowa","Grunwald","gminna","234",,
"1791","Toropiecka","Stare Miasto","droga wewnętrzna","71",,
"1792","Toruńska","Nowe Miasto","gminna","377",,
"1793","Toskańska","Stare Miasto","droga wewnętrzna","140",,
"1794","Towarowa","Stare Miasto","gminna","398",,
"1795","Traugutta Romualda","Wilda","gminna","543",,
"1796","Trąmpczyńskiego Wojciecha","Wilda","gminna","651",,
"1797","Treblińska","Nowe Miasto","gminna","132",,
"1798","Trębacka","Grunwald","gminna","97",,
"1799","Troczyńskiego Konstantego","Stare Miasto","gminna","219",,
"1800","Trójpole","Stare Miasto","gminna","455",,
"1801","Truskawiecka","Jeżyce","gminna","298",,
"1802","Truskawkowa","Nowe Miasto","gminna","289",,
"1803","Trybunalska","Grunwald","gminna","543",,
"1804","Trzcianecka","Jeżyce","gminna","370",,
"1805","Trzebawska","Grunwald","gminna","593",,
"1806","Trzebiatowska","Jeżyce","gminna","1264",,
"1807","Trzebińska","Grunwald","gminna","631",,
"1808","Trzemeszeńska","Nowe Miasto","gminna","340",,
"1809","Tucholska","Jeżyce","gminna","318",,
"1810","Tulipanowa","Grunwald","gminna","84",,
"1811","Tułodzieckiej Anieli","Jeżyce","gminna","681",,
"1812","Turgieniewa Iwana","Jeżyce","droga wewnętrzna","122",,
"1813","Turkusowa","Jeżyce","droga wewnętrzna","407",,
"1814","Turniowa","Grunwald","gminna","482",,
"1815","Turystyczna","Jeżyce","droga wewnętrzna","203",,
"1816","Tuwima Juliana","Grunwald","gminna","774",,
"1817","Twardogórska","Grunwald","gminna","153",,
"1818","Twardowskiego Jana ks.","Jeżyce","droga wewnętrzna","101",,
"1819","Tyca Teodora","Wilda","gminna","242",,
"1820","Tyczyńska","Nowe Miasto","gminna","114",,
"1821","Tylicka","Jeżyce","gminna","91",,
"1822","Tylne Chwaliszewo","Stare Miasto","gminna","130",,
"1823","Tymiankowa","Stare Miasto","droga wewnętrzna","348",,
"1824","Tymienieckiego Kazimierza","Stare Miasto","gminna","493",,
"1825","Tyniecka","Grunwald","gminna","493",,
"1826","Tyrmanda Leopolda","Jeżyce","droga wewnętrzna","219",,
"1827","Tyrwacka","Stare Miasto","gminna","275",,
"1828","Tyska","Jeżyce","gminna","85",,
"1829","Ugory","Stare Miasto","gminna","406",,
"1830","Ułańska","Grunwald","gminna","531",,
"1831","Ułaszyna Henryka","Wilda","gminna","264",,
"1832","Umińskiego Jana","Wilda","gminna","353",,
"1833","Umultowska","Stare Miasto","gminna","1876","linia kolejowa","Rumiankowa"
"1834","Unii Lubelskiej","Nowe Miasto","gminna","1026",,
"1835","Unisława","Nowe Miasto","gminna","379",,
"1836","Uprawna","Nowe Miasto","gminna","489",,
"1837","Uradzka","Grunwald","gminna","667",,
"1838","Urbanowska","Jeżyce","gminna","464","gen.Stanisława Maczka","bez przejazdu"
"1839","Urocza","Stare Miasto","gminna","423",,
"1840","Urodzajna","Nowe Miasto","droga wewnętrzna","112",,
"1841","Urszulanek","Nowe Miasto","gminna","415",,
"1842","Urwista","Nowe Miasto","gminna","127",,
"1843","Ustronna","Grunwald","droga wewnętrzna","141",,
"1844","Ustrońska","Wilda","gminna","90",,
"1845","Ustrzycka","Nowe Miasto","gminna","415",,
"1846","Uświacka","Stare Miasto","droga wewnętrzna","248",,
"1847","Uzdrowiskowa","Jeżyce","droga wewnętrzna","584",,
"1848","Uznamska","Nowe Miasto","gminna","309",,
"1849","Vetulaniego Tadeusza","Wilda","gminna","167",,
"1850","Vrtela-Wierczyńskiego Stefana","Stare Miasto","droga wewnętrzna","452",,
"1851","Wachowiaka Stanisława","Stare Miasto","gminna","334",,
"1852","Wadowicka","Nowe Miasto","gminna","1733",,
"1853","Wagi","Nowe Miasto","droga wewnętrzna","428",,
"1854","Wagrowska","Nowe Miasto","gminna","797",,
"1855","Wałbrzyska","Grunwald","gminna","338",,
"1856","Wałecka","Jeżyce","gminna","1880",,
"1857","Wandy","Nowe Miasto","gminna","379",,
"1858","Wańkowicza Melchiora","Jeżyce","gminna","1160",,
"1859","Warecka","Nowe Miasto","gminna","98",,
"1860","Warmińska","Jeżyce","gminna","1025",,
"1861","Warowna","Nowe Miasto","gminna","242",,
"1862","Warpińska","Nowe Miasto","gminna","795",,
"1863","Warpnowska","Jeżyce","gminna","593",,
"1864","Waryńskiego Ludwika plac","Jeżyce","droga wewnętrzna","209",,
"1865","Warzywna","Stare Miasto","gminna","287",,
"1866","Wawerska","Grunwald","gminna","148",,
"1867","Wawrzyniaka Piotra","Jeżyce","gminna","583",,
"1868","Wczasowa","Nowe Miasto","gminna","455",,
"1869","Wejherowska","Jeżyce","gminna","779",,
"1870","Wenecjańska","Stare Miasto","gminna","199",,
"1871","Wenedów","Stare Miasto","gminna","128",,
"1872","Wergiliusza","Jeżyce","gminna","1109",,
"1873","Wesoła","Jeżyce","droga wewnętrzna","40",,
"1874","Weteranów","Nowe Miasto","droga wewnętrzna","98",,
"1875","Węglowa","Grunwald","gminna","352",,
"1876","Węgorka Władysława","Grunwald","gminna","718",,
"1877","Węgorzewska","Jeżyce","gminna","228",,
"1878","Wiankowa","Nowe Miasto","gminna","121",,
"1879","Wiązowa","Wilda","gminna","151",,
"1880","Wicherkiewicz Marii","Jeżyce","gminna","444",,
"1881","Widawska","Nowe Miasto","gminna","299",,
"1882","Widłakowa","Stare Miasto","gminna","551",,
"1883","Widna","Jeżyce","gminna","161",,
"1884","Wiece","Jeżyce","gminna","208",,
"1885","Wieczorynki","Grunwald","gminna","430",,
"1886","Wiedeńska","Stare Miasto","gminna","428",,
"1887","Wiejska","Nowe Miasto","gminna","116",,
"1888","Wielichowska","Wilda","gminna","260",,
"1889","Wielka","Stare Miasto","gminna","421",,
"1890","Wielkołucka","Stare Miasto","droga wewnętrzna","319",,
"1891","Wielkopolski plac","Stare Miasto","gminna","149",,
"1892","Wieluńska","Wilda","gminna","90",,
"1893","Wieniawskiego Henryka","Stare Miasto","gminna","546",,
"1894","Wieprawska","Nowe Miasto","gminna","824",,
"1895","Wierchowa","Jeżyce","gminna","109",,
"1896","Wierzbięcice","Wilda","powiatowa","319",,
"1897","Wierzbowa","Stare Miasto","gminna","112",,
"1898","Wierzejewskiego Ireneusza","Grunwald","gminna","75",,
"1899","Wiesiołkowa","Stare Miasto","gminna","541",,
"1900","Wiesławy","Nowe Miasto","gminna","152",,
"1901","Wietrzna","Stare Miasto","gminna","141",,
"1902","Wietrzykowskich","Jeżyce","droga wewnętrzna","375",,
"1903","Wiewiórcza","Nowe Miasto","gminna","346",,
"1904","Wieżowa","Nowe Miasto","gminna","665",,
"1905","Więzowska","Wilda","gminna","182",,
"1906","Wigury Stanisława","Jeżyce","gminna","304",,
"1907","Wiklinowa","Wilda","droga wewnętrzna","166",,
"1908","Wilanowska","Stare Miasto","gminna","313",,
"1909","Wilcza","Nowe Miasto","gminna","380",,
"1910","Wilczak","Stare Miasto","gminna","937",,
"1911","Wileńska","Nowe Miasto","gminna","409",,
"1912","Wilkanowicza Romana","Grunwald","gminna","71",,
"1913","Wilkońskich","Jeżyce","gminna","213",,
"1914","Wilków Morskich","Jeżyce","gminna","1373",,
"1915","Willowa","Jeżyce","gminna","191",,
"1916","Winiarska","Jeżyce","gminna","480",,
"1917","Winiarskiego Bohdana","Wilda","gminna","344",,
"1918","Winklera Błażeja","Grunwald","gminna","516",,
"1919","Winna","Stare Miasto","gminna","206",,
"1920","Winogronowa","Nowe Miasto","droga wewnętrzna","274",,
"1921","Wiosenna","Jeżyce","gminna","308",,
"1922","Wiosny Ludów plac","Stare Miasto","gminna","26",,
"1923","Wioślarska","Nowe Miasto","droga wewnętrzna","690",,
"1924","Wirska","Jeżyce","gminna","93",,
"1925","Wisłocka","Jeżyce","gminna","126",,
"1926","Wiślana","Jeżyce","gminna","814",,
"1927","Wiślicka","Nowe Miasto","gminna","224",,
"1928","Wiśniowa","Wilda","gminna","662",,
"1929","Witaszka Franciszka","Wilda","gminna","372",,
"1930","Witebska","Stare Miasto","droga wewnętrzna","53",,
"1931","Witkowska","Nowe Miasto","gminna","192",,
"1932","Witnicka","Grunwald","gminna","173",,
"1933","Witosława","Nowe Miasto","gminna","132",,
"1934","Wituchowska","Jeżyce","gminna","405",,
"1935","Włada Franciszka","Stare Miasto","gminna","196",,
"1936","Władymira","Nowe Miasto","gminna","169",,
"1937","Włocławska","Nowe Miasto","gminna","547",,
"1938","Włodarska","Stare Miasto","gminna","383",,
"1939","Włodkowica Pawła","Grunwald","gminna","496",,
"1940","Włoszakowicka","Wilda","gminna","184",,
"1941","Włościańska","Stare Miasto","gminna","268",,
"1942","Wodna","Stare Miasto","gminna","441",,
"1943","Wodnika","Nowe Miasto","droga wewnętrzna","162",,
"1944","Wojkiewicza Jana","Wilda","gminna","138",,
"1945","Wojkowskich Julii i Antoniego","Jeżyce","gminna","284",,
"1946","Wojnowicka","Grunwald","gminna","197",,
"1947","Wojskowa","Grunwald","gminna","542",,
"1948","Wolbromska","Nowe Miasto","gminna","279",,
"1949","Wolińska","Jeżyce","gminna","146",,
"1950","Wolności plac","Stare Miasto","gminna","262",,
"1951","Wolska","Grunwald","gminna","127",,
"1952","Wolsztyńska","Grunwald","gminna","548",,
"1953","Wołkowa Władysława","Stare Miasto","droga wewnętrzna","103",,
"1954","Wołkowyska","Nowe Miasto","gminna","494",,
"1955","Wołodyjowskiego Michała","Grunwald","gminna","544",,
"1956","Wołowska","Grunwald","gminna","420",,
"1957","Wołowska","Grunwald","powiatowa","560",,
"1958","Wołyńska","Jeżyce","gminna","547",,
"1959","Wonna","Jeżyce","gminna","94",,
"1960","Worcella Stanisława","Wilda","gminna","78",,
"1961","Woźna","Stare Miasto","gminna","465",,
"1962","Woźnicka","Grunwald","gminna","127",,
"1963","Wójtowska","Stare Miasto","gminna","334",,
