60-324	ul. Marcelińska
60-325	ul. Miecznikowska
60-325	ul. Trybunalska
60-326	ul. Podkomorska
60-326	ul. Senatorska
60-327	ul. Kanclerska
60-327	ul. Marszałkowska
60-328	ul. Podstolińska
60-329	ul. Cześnikowska
60-330	ul. Cześnikowska
60-331	ul. Husarska
60-332	ul. Grochowska
60-334	ul. Włodkowica Pawła
60-335	ul. Grochowska
60-336	ul. Grochowska
60-337	ul. Grochowska
60-338	ul. Poranek
60-339	ul. Grochowska
60-341	ul. Marcelińska
60-343	ul. Rycerska
60-344	ul. Rycerska
60-345	ul. Rycerska
60-346	ul. Rycerska
60-347	ul. Rycerska
60-348	ul. Lubeckiego Franciszka
60-348	ul. Skarbka Fryderyka
60-349	ul. Ostroroga Jana
60-351	ul. Zakręt
60-352	ul. Grunwaldzka
60-354	ul. Marcelińska
60-355	ul. Przybyszewskiego Stanisława
60-356	ul. Przybyszewskiego Stanisława
60-357	ul. Przybyszewskiego Stanisława
60-358	ul. Opalenicka
60-359	ul. Zbąszyńska
60-361	ul. Szopienicka
60-361	ul. Wolsztyńska
60-362	ul. Opalenicka
60-363	ul. Grodziska
60-365	ul. Szamotulska
60-366	ul. Szamotulska
60-367	ul. Sierakowska
60-368	ul. Nowotomyska
60-369	ul. Brzask
60-369	ul. Mgielna
60-369	ul. Zorza
60-371	ul. Międzychodzka
60-373	ul. Jutrzenka
60-374	ul. Jesienna
60-375	ul. Szronowa
60-375	ul. Świt
60-376	ul. Świt
60-378	ul. Bułgarska
60-379	ul. Bułgarska
60-381	ul. Bułgarska
60-382	ul. Bułgarska
60-383	ul. Bułgarska
60-384	ul. Bułgarska
60-385	ul. Ognik
60-386	ul. Ognik
60-387	ul. Modra
60-388	ul. Modra
60-389	ul. Swoboda
60-391	ul. Swoboda
60-392	ul. Płomienna
60-393	ul. Promyk
60-394	ul. Płomienna
60-395	ul. Promyk
60-396	ul. Bukowska
60-397	ul. Bukowska
60-398	ul. Bukowska
60-401	ul. Bystrzycka
60-401	ul. Narewska
60-401	ul. Pilicka
60-401	ul. Polska
60-401	ul. Prądnicka
60-406	ul. Biebrzańska
60-406	ul. Bużańska
60-406	ul. Generała Dąbrowskiego Jana Henryka
60-406	ul. Nidziańska
60-407	ul. Balonowa
60-407	ul. Burzyńskiego Zbigniewa
60-407	ul. Dedala
60-407	ul. Ikara
60-407	ul. Latawcowa
60-408	ul. 5 Stycznia
60-408	ul. Arcta Bohdana
60-408	ul. Bajana Jerzego
60-408	ul. Drzewieckiego Stefana
60-408	ul. Haber Włyńskiego Adama
60-408	ul. Hynka Franciszka
60-408	ul. Idzikowskiego Ludwika
60-408	ul. Kocjana Antoniego
60-408	ul. Latwisa Stanisława
60-408	ul. Meissnera Janusza
60-408	ul. Nagórskiego Jana
60-408	ul. Przelot
60-409	ul. Hangarowa
60-409	ul. Palucha Mieczysława
60-409	ul. Pilotów
60-411	ul. Kopy Andrzeja
60-412	ul. Dniestrzańska
60-412	ul. Niemeńska
60-412	ul. Notecka
60-412	ul. Olżańska
60-412	ul. Popradzka
60-413	ul. Dunajecka
60-413	ul. Lednicka
60-415	ul. Czarnkowska
60-415	ul. Czarnohorska
60-415	ul. Halna
60-415	ul. Karkonoska
60-415	ul. Karpacka
60-415	ul. Lutycka
60-415	ul. Łomnicka
60-416	ul. Beskidzka
60-416	ul. Białogardzka
60-416	ul. Bieszczady
60-416	ul. Biskupińska
60-416	ul. Olsztyńska
60-416	ul. Podgajska
60-418	ul. Białośliwska
60-418	ul. Chodzieska
60-418	ul. Kołobrzeska
60-419	ul. Budzyńska
60-419	ul. Generała Dąbrowskiego Jana Henryka
60-421	ul. Lotnicza
60-425	ul. Generała Dąbrowskiego Jana Henryka
60-425	ul. Łobżenicka
60-425	ul. Margonińska
60-427	ul. Gorajska
60-427	ul. Lubosińska
60-427	ul. Mrowińska
60-427	ul. Prusimska
60-427	ul. Przybrodzka
60-427	ul. Przytoczna
60-431	ul. Lęborska
60-432	ul. Maszewska
60-432	ul. Myśliborska
60-433	ul. Brodnicka
60-433	ul. Lubowska
60-433	ul. Mazurska
60-434	ul. Bartoszycka
60-434	ul. Czaplinecka
60-434	ul. Człuchowska
60-434	ul. Polanowska
60-438	ul. Karlińska
60-438	ul. Łupowska
60-438	ul. Nowokramska
60-438	ul. Połczyńska
60-439	ul. Lemierzycka
60-439	ul. Lubiatowska
60-441	ul. Ownicka
60-442	ul. Ownicka
60-443	ul. Muszkowska
60-443	ul. Owczarska
60-446	ul. Cetniewska
60-446	ul. Czerska
60-446	ul. Grudziądzka
60-446	ul. Jelitkowska
60-446	ul. Karsińska
60-446	ul. Kościerzyńska
60-446	ul. Mrzeżyńska
60-446	ul. Pelplińska
60-446	ul. Pniewska
60-446	ul. Prabucka
60-447	ul. Architektów
60-447	ul. Czechowska
60-447	ul. Drogowców
60-447	ul. Geodetów
60-447	ul. Meliorantów
60-451	ul. Generała Dąbrowskiego Jana Henryka
60-452	ul. Darłowska
60-452	ul. Leśnowolska
60-453	ul. Człopska
60-453	ul. Gorzyńska
60-453	ul. Kwidzyńska
60-453	ul. Malborska
60-454	ul. Braniewska
60-454	ul. Elbląska
60-454	ul. Fromborska
60-454	ul. Gniewska
60-454	ul. Lęborska
60-454	ul. Lubowska
60-454	ul. Oliwska
60-454	ul. Ornecka
60-454	ul. Pasłęcka
60-454	ul. Polanowska
60-454	ul. Pucka
60-456	ul. Dziwnowska
60-456	ul. Kociewska
60-456	ul. Łagowska
60-456	ul. Łebska
60-456	ul. Międzyzdrojska
60-457	ul. Letniskowa
60-457	ul. Nad Miedzą
60-457	ul. Przygraniczna
60-458	ul. Białoborska
60-458	ul. Charzykowska
60-458	ul. Izbicka
60-458	ul. Olecka
60-461	ul. Ajschylosa
60-461	ul. Arystofanesa
60-461	ul. Barczewska
60-461	ul. Bułhakowa Michaiła
60-461	ul. Bunina Iwana
60-461	ul. Bunscha Karola
60-461	ul. Czechowa Antona
60-461	ul. Dobromiejska
60-461	ul. Eurypidesa
60-461	ul. Fidlera Arkadego
60-461	ul. Gogola Nikołaja
60-461	ul. Gołdapska
60-461	ul. Gołubiewa Antoniego
60-461	ul. Gombrowicza Witolda
60-461	ul. Grajewska
60-461	ul. Hezjoda
60-461	ul. Homera
60-461	ul. Horacego
60-461	ul. Irzykowskiego Karola
60-461	ul. Jastrowska
60-461	ul. Jeziorańska
60-461	ul. Juwenalisa
60-461	ul. Kasprowicza Jana
60-461	ul. Krajenecka
60-461	ul. Lermontowa Michaiła
