"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"228","Chojnicka","PJ","G","27","2275","5776"
"229","Chomęcicka","PG","G","33","123","569"
"230","Chopina Fryderyka","PS","G","18","241","1518"
"231","Chotomińska","PN","G","25","913","3745"
"232","Chrobacka","PS","G","19","89","462"
"233","Chryzantemowa","PG","G","56","384","2518"
"234","Chrzanowska","PN","G","26","1441","4230"
"235","Chwaliszewo","PS","G","21","379","3395"
"236","Chwiałkowskiego Marcina","PW","G","19","707","5150"
"237","Chyżańska","PN","F","57","252","1836"
"238","Ciasna","PS","G","22","34","328"
"239","Cicha","PS","G","160","359","2378"
"240","Ciechocińska","PJ","G","28","1409","5778"
"241","Cienista","PJ","G","29","184","764"
"242","Cieplicka","PJ","G","30","204","1101"
"243","Cieszkowskiego Augusta","PJ","G","31","1238","4692"
"244","Cieszymira","PN","G","27","129","235"
"245","Cieszyńska","PW","G","20","425","1665"
"246","Cisowa","PW","G","21","179","772"
"247","Cmentarna","PG","G","35","1879","14454"
"248","Cybińska","PN","G","58","35","167"
"249","Cybulskiego Wojciecha","PG","G","36","198","914"
"250","Cymsa Pawła","PW","G","22","60","147"
"251","Cynamonowa","PS","F","517","235","982"
"252","Cyniowa","PG","G","59","154","742"
"253","Cyprysowa","PW","F","60","119","642"
"254","Cyraneczki","PN","F","544","61","221"
"255","Cyrkoniowa","PS","F","520","123"
"256","Cytadelowców aleja","PS","F","61","602"
"257","Cytrynowa","PS","G","547","915","3167"
"258","Czajcza","PW","G","23","250","2042"
"259","Czapla","PS","G","23","100","503"
"260","Czaplinecka","PJ","G","32","258","1144"
"261","Czarna Rola","PS","G","24","406","1916"
"262","Czarnieckiego Stefana","PW","G","24","236","1695"
"263","Czarnkowska","PJ","G","33","689","3279"
"264","Czarnohorska","PJ","G","34","246","670"
"265","Czarnucha","PS","G","25","1816","8304"
"266","Czartoria","PS","G","26","196","1512"
"267","Czechosłowacka","PG","P","12012","345","2410"
"268","Czechosłowacka","PW","P","12012","167","1142"
"269","Czechowa Antona","PJ","F","603","291","1691"
"270","Czechowska","PJ","G","35","122","614"
"271","Czekalskie","PN","P","13013","774","1377"
"272","Czekanowskiego Jana","PN","G","466","499","2332"
"273","Czekoladowa","PS","F","517","269","1092"
"274","Czeladzka","PW","G","25","393","1130"
"275","Czempińska","PG","G","37","85","463"
"276","Czeremchowa","PW","G","26","365","2465"
"277","Czereśniowa","PW","G","27","219","1101"
"278","Czerniejewska","PN","G","28","246","1491"
"279","Czernika Stanisława","PG","G","62","42","210"
"280","Czerska","PJ","G","36","144","927"
"281","Czerwińskiego Bolesława","PW","G","28","74","353"
"282","Cześnikowska","PG","G","38","691","4053"
"283","Częstochowska","PG","G","39","238","1116"
"284","Człopska","PJ","G","37","268","1939"
"285","Człuchowska","PJ","G","38","659","4588"
"286","Czorsztyńska","PJ","G","39","561","2640"
"287","Czwartaków","PW","G","30","236","1475"
"288","Czysta","PN","G","29","161","686"
"289","Ćmielowska","PN","G","30","161","934"
"290","Daktylowa","PS","F","402","606","413"
"291","Daleka","PG","G","40","388","2628"
"292","Dalemińska","PS","G","27","270","1569"
"293","Daliowa","PG","G","63","461","3033"
"294","Danuty","PN","G","31","312","926"
"295","Danysz Anny","PJ","G","40","215","1179"
"296","Darłowska","PJ","G","41","962","6007"
"297","Darniowa","PN","G","32","2183","9637"
"298","Darzyborska","PN","G","33","4000","12808"
"299","Darzyńska","PN","G","34","1893","10452"
"300","Daszewicka","PN","G","35","547","2794"
"301","Daszyńskiego Ignacego","PW","G","64","76","258"
"302","Dąbrówki","PW","G","31","107","997"
"303","Dedala","PJ","G","42","82","457"
"304","Degi Wiktora plac","PS","F","596","176","1132"
"305","Dembowskiego Edwarda","PJ","G","43","134","464"
"306","Dereniowa","PN","F","651","108","520"
"307","Deszczowa","PS","G","680","948","3462"
"308","Dettloffa Szczęsnego","PS","F","65","264","1822"
"309","Dębicka","PN","G","36","543","2305"
"310","Dęblińska","PN","G","37","251","1079"
"311","Dębowa","PW","F","66","217","1350"
"312","Diamentowa","PS","G","67","445","1477"
"313","Długa","PS","G","28","504","3512"
"314","Długosza Jana","PJ","G","44","382","3013"
"315","Dmowskiego Romana","PG","G","52","1959","12869"
"316","Dniestrzańska","PJ","G","45","233","1088"
"317","Do Alei","PS","F","69","167","873"
"318","Dobiegniewska","PG","G","42","288","1883"
"319","Dobra","PJ","G","46","417","1406"
"320","Dobrepole","PN","G","38","752","4208"
"321","Dobrochny","PN","G","39","123","887"
"322","Dobrodzieńska","PG","F","70","67","1272"
"323","Dobrogojskiego Ignacego","PS","G","29","482","2046"
"324","Dobromiejska","PJ","G","468","264","1501"
"325","Dobromiły","PN","G","40","643","2759"
"326","Dobrowita","PN","G","41","225","1099"
"327","Dobrowolskiego Gieorgija","PS","F","71","298","1683"
"328","Dobrzyckiego Mikołaja","PS","G","30","489","2100"
"329","Dolina","PW","G","32","319","1134"
"330","Dolna","PS","G","73","768","3947"
"331","Dolna","PS","F","521","365"
"332","Dolne Chyby","PJ","F","591","168","890"
"333","Dolska","PN","F","74","684","11382"
"334","Domeyki Ignacego","PN","G","467","467","2240"
"335","Dominikańska","PS","G","31","146","1758"
"336","Dowbora-Muśnickiego Józefa","PS","P","6006","132","1086"
"337","Dożynkowa","PS","G","33","264","1687"
"338","Drawska","PW","G","33","62","159"
"339","Drewlańska","PS","G","34","199","772"
"340","Drewsa Romana","PS","F","565","299","3936"
"341","Drobna","PG","G","43","80","1058"
"342","Drobnika Tomasza","PS","G","35","482","2406"
"343","Drogocin","PS","F","540","79","319"
"344","Drogowców","PJ","G","47","177","858"
"345","Drużbackiej Elżbiety","PG","G","44","105","923"
"346","Drużbickiego Kaspra","PS","G","36","515","3341"
"347","Drużynowa","PG","G","45","417","2105"
"348","Drwali","PN","F","659","181","1022"
"349","Drwęskiego Jarogniewa","PJ","G","48","324","2267"
"350","Drzewieckiego Conrada","PG","G","94","70","395"
"351","Drzewieckiego Stefana","PJ","G","75","463","2868"
"352","Drzewna","PW","F","76","106","703"
"353","Drzymały Michała","PJ","G","49","562","2969"
"354","Dukielska","PJ","G","50","220","1000"
"355","Dunajecka","PJ","G","51","271","1312"
"356","Dunikowskiego Xawerego","PW","G","77","94","674"
"357","Dusznicka","PJ","G","78","214","1050"
"358","Dwatory","PG","G","47","97","738"
"359","Dworcowa","PS","G","37","422","9546"
"360","Dworkowa","PJ","G","52","112","365"
"361","Dworska","PS","G","38","339","1935"
"362","Dybowskiego Benedykta Tadeusza","PS","F","79","499","3978"
