"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"252","Zamenhofa Ludwika","PN","K","11013","1660","30435"
"253","Zeylanda Janusza","PJ","G","279","98","1289"
"254","Złotnicka","PJ","P","699","464","2498"
"255","Złotowska","PG","P","156156","2874","23717"
"256","Zwierzyniecka","PJ","G","283","241","2979"
"257","Żegrze","PN","P","158158","1507","33892"
"258","Żegrze rondo","PN","P","337","115","9001"
"259","Żelazka Mariana o.","PW","G","88","415","8825"
"260","Żeromskiego Stefana","PJ","K","11004","456","6271"
"261","Żywiczna","PN","G","654","1227","7398"

